d,alpha,policy,gamma,uniform_regret,adversarial_regret
41,1.5,balanced,0.72647652036851407,0.0080442413233374754,0.0080442412413688213
41,2,uniform,0.58113883008418976,0,0.026334038989723974
41,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
41,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
41,3,uniform,0.54181574745324845,0,0.020708477383641899
41,3,adversarial,0.58578643762690508,0.021445185946480372,0
41,3,balanced,0.56325883166314927,0.0052121770093482844,0.0052121770352215879
42,1.5,uniform,0.65359827972973983,0,0.033129338374162209
42,1.5,adversarial,0.80000000000000004,0.032040588448049023,2.2204460492503131e-16
42,1.5,balanced,0.72648934069448323,0.0080413890093797846,0.0080413889404378214
42,2,uniform,0.58113883008418976,0,0.026334038989723974
42,2,adversarial,0.66666666666666663,0.027046276694730365,2.2204460492503131e-16
42,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
42,3,uniform,0.54180507198956751,0,0.020718970059860231
42,3,adversarial,0.58578643762690508,0.021455961078557628,0
42,3,balanced,0.56325356822910921,0.0052146663197771836,0.00521466627690792
43,1.5,uniform,0.65362145424400564,0,0.033118405373841364
43,1.5,adversarial,0.80000000000000004,0.032028987182872504,2.2204460492503131e-16
43,1.5,balanced,0.72650158718454994,0.008038664683467589,0.0080386647981793846
43,2,uniform,0.58113883008418976,0,0.026334038989723974
43,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
43,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
