alpha,gamma,alternation,best_block,envelope,active_m,is_envelope_minimum
256,4.590000000000000191e-01,5.807965561491579258e-34,5.200445126369656622e+07,5.200445126369656622e+07,10,0
256,4.591666666666666674e-01,5.212761721439316756e-34,4.804146834964144975e+07,4.804146834964144975e+07,10,0
256,4.593333333333333712e-01,4.678456616950192853e-34,4.437934829521372914e+07,4.437934829521372914e+07,10,0
256,4.595000000000000195e-01,4.198829357893788909e-34,4.099533624233359098e+07,4.099533624233359098e+07,10,0
256,4.596666666666666679e-01,3.768293506996616304e-34,3.786839181632918864e+07,3.786839181632918864e+07,10,0
256,4.598333333333333717e-01,3.381832477294935123e-34,3.497906043723280728e+07,3.497906043723280728e+07,10,0
256,4.600000000000000200e-01,3.034941497151831194e-34,3.230935425361929834e+07,3.230935425361929834e+07,10,0
256,4.601666666666666683e-01,2.723575476238789821e-34,2.984264198222574592e+07,2.984264198222574592e+07,10,0
256,4.603333333333333721e-01,2.444102173435372679e-34,2.756354698977094144e+07,2.756354698977094144e+07,10,0
256,4.605000000000000204e-01,2.193260128315816384e-34,2.545785300266102329e+07,2.545785300266102329e+07,10,0
256,4.606666666666666687e-01,1.968120872462127413e-34,2.351241687584507838e+07,2.351241687584507838e+07,10,0
256,4.608333333333333171e-01,1.766054985895230305e-34,2.171508789438035339e+07,2.171508789438035339e+07,10,0
256,4.610000000000000209e-01,1.584701607997650322e-34,2.005463312032260001e+07,2.005463312032260001e+07,10,0
256,4.611666666666666692e-01,1.421941051920976394e-34,1.852066833381652832e+07,1.852066833381652832e+07,10,0
256,4.613333333333333730e-01,1.275870207080510150e-34,1.710359415076765791e+07,1.710359415076765791e+07,10,0
256,4.615000000000000213e-01,1.144780446341843798e-34,1.579453693056768924e+07,1.579453693056768924e+07,10,0
256,4.616666666666666696e-01,1.027137783261880968e-34,1.458529411606292613e+07,1.458529411606292613e+07,10,0
256,4.618333333333333179e-01,9.215650505944298579e-35,1.346828367459988035e+07,1.346828367459988035e+07,10,0
256,4.620000000000000218e-01,8.268258944962995309e-35,1.243649733362646215e+07,1.243649733362646215e+07,10,0
256,4.621666666666666701e-01,7.418103997425828270e-35,1.148345732714738697e+07,1.148345732714738697e+07,10,0
256,4.623333333333333184e-01,6.655221800160058936e-35,1.060317639046473615e+07,1.060317639046473615e+07,10,0
256,4.625000000000000222e-01,5.970667841906908663e-35,9.790120760193176568e+06,9.790120760193176568e+06,10,0
256,4.626666666666666705e-01,5.356412846752787187e-35,9.039175954655859619e+06,9.039175954655859619e+06,10,0
256,4.628333333333333188e-01,4.805249274899798183e-35,8.345615126518439502e+06,8.345615126518439502e+06,10,0
256,4.630000000000000226e-01,4.310707359810814938e-35,7.705069795060401782e+06,7.705069795060401782e+06,10,0
256,4.631666666666666710e-01,3.866979710638445134e-35,7.113502779832296073e+06,7.113502779832296073e+06,10,0
256,4.633333333333333193e-01,3.468853607572417570e-35,6.567183170751636848e+06,6.567183170751636848e+06,10,0
256,4.635000000000000231e-01,3.111650206454212877e-35,6.062663182011792436e+06,6.062663182011792436e+06,10,0
256,4.636666666666666714e-01,2.791169948700293070e-35,5.596756748560428619e+06,5.596756748560428619e+06,10,0
256,4.638333333333333197e-01,2.503643544186316323e-35,5.166519734461293556e+06,5.166519734461293556e+06,10,0
256,4.640000000000000235e-01,2.245687959080217802e-35,4.769231632213823497e+06,4.769231632213823497e+06,10,0
256,4.641666666666666718e-01,2.014266898412032504e-35,4.402378641142736189e+06,4.402378641142736189e+06,10,0
256,4.643333333333333202e-01,1.806655325095404327e-35,4.063638021333711222e+06,4.063638021333711222e+06,10,0
256,4.645000000000000240e-01,1.620407603769305097e-35,3.750863627333247568e+06,3.750863627333247568e+06,10,0
256,4.646666666666666723e-01,1.453328899736824248e-35,3.462072532995672431e+06,3.462072532995672431e+06,10,0
256,4.648333333333333206e-01,1.303449500927959943e-35,3.195432665488528553e+06,3.195432665488528553e+06,10,0
256,4.650000000000000244e-01,1.169001764637663465e-35,2.949251372609751299e+06,2.949251372609751299e+06,10,0
256,4.651666666666666727e-01,1.048399421170232862e-35,2.721964853243852500e+06,2.721964853243852500e+06,10,0
256,4.653333333333333210e-01,9.402189938154505867e-36,2.512128386040790007e+06,2.512128386040790007e+06,10,0
