alpha,dimension,gamma,scaled_difference
2,2,0.369,-1.4609203798392987
2,2,0.37,-1.4598540145985401
2,2,0.371,-1.4587892049598834
2,2,0.372,-1.457725947521866
2,2,0.373,-1.4566642388929352
2,2,0.374,-1.455604075691412
2,2,0.375,-1.4545454545454546
2,2,0.376,-1.4534883720930234
2,2,0.377,-1.4524328249818446
2,2,0.378,-1.4513788098693758
2,2,0.379,-1.4503263234227701
2,2,0.38,-1.4492753623188408
2,2,0.381,-1.448225923244026
2,2,0.382,-1.447178002894356
2,2,0.383,-1.4461315979754157
2,2,0.384,-1.4450867052023122
2,2,0.385,-1.444043321299639
2,2,0.386,-1.4430014430014428
2,2,0.387,-1.4419610670511895
2,2,0.388,-1.4409221902017293
2,2,0.389,-1.4398848092152627
2,2,0.39,-1.4388489208633093
2,2,0.391,-1.4378145219266714
2,2,0.392,-1.4367816091954024
2,2,0.393,-1.4357501794687724
2,2,0.394,-1.4347202295552366
2,2,0.395,-1.4336917562724014
2,2,0.396,-1.4326647564469914
2,2,0.397,-1.4316392269148175
2,2,0.398,-1.4306151645207439
2,2,0.399,-1.4295925661186561
2,2,0.4,-1.4285714285714286
2,2,0.401,-1.4275517487508922
2,2,0.402,-1.426533523537803
2,2,0.403,-1.4255167498218104
2,2,0.404,-1.4245014245014247
2,2,0.405,-1.4234875444839858
2,2,0.406,-1.422475106685633
2,2,0.40700000000000003,-1.4214641080312722
2,2,0.40800000000000003,-1.4204545454545456
2,2,0.40900000000000003,-1.4194464158977997
2,2,0.41000000000000003,-1.4184397163120566
2,2,0.41100000000000003,-1.4174344436569808
2,2,0.41200000000000003,-1.41643059490085
2,2,0.41300000000000003,-1.4154281670205238
2,2,0.41400000000000003,-1.4144271570014142
2,2,0.41500000000000004,-1.4134275618374559
2,2,0.41600000000000004,-1.4124293785310735
2,2,0.417,-1.4114326040931544
2,2,0.418,-1.4104372355430184
2,2,0.419,-1.409443269908386
2,2,0.42,-1.4084507042253522
2,2,0.421,-1.4074595355383532
2,2,0.422,-1.4064697609001406
2,2,0.423,-1.4054813773717498
2,2,0.424,-1.404494382022472
2,2,0.425,-1.4035087719298245
2,2,0.426,-1.402524544179523
2,2,0.427,-1.4015416958654519
2,2,0.428,-1.400560224089636
2,2,0.429,-1.3995801259622114
2,2,0.43,-1.3986013986013988
2,2,0.431,-1.397624039133473
2,2,0.432,-1.3966480446927374
2,2,0.433,-1.3956734124214933
2,2,0.434,-1.394700139470014
2,2,0.435,-1.3937282229965156
2,2,0.436,-1.392757660167131
2,2,0.437,-1.3917884481558802
2,2,0.438,-1.3908205841446455
2,2,0.439,-1.389854065323141
2,2,0.44,-1.3888888888888888
2,2,0.441,-1.3879250520471893
2,2,0.442,-1.3869625520110958
2,2,0.443,-1.386001386001386
2,2,0.444,-1.3850415512465375
2,2,0.445,-1.3840830449826989
2,2,0.446,-1.3831258644536653
2,2,0.447,-1.38217000691085
2,2,0.448,-1.3812154696132597
2,2,0.449,-1.3802622498274673
2,2,0.45,-1.3793103448275863
2,2,0.451,-1.3783597518952446
2,2,0.452,-1.3774104683195594
2,2,0.453,-1.3764624913971093
2,2,0.454,-1.375515818431912
2,2,0.455,-1.3745704467353952
2,2,0.456,-1.3736263736263736
2,2,0.457,-1.3726835964310227
2,2,0.458,-1.3717421124828533
2,2,0.459,-1.3708019191226868
2,2,0.46,-1.36986301369863
2,2,0.461,-1.3689253935660506
2,2,0.462,-1.3679890560875514
2,2,0.463,-1.367053998632946
2,2,0.464,-1.366120218579235
2,2,0.465,-1.36518771331058
2,2,0.466,-1.364256480218281
2,2,0.467,-1.3633265167007498
2,2,0.468,-1.3623978201634879
2,2,0.46900000000000003,-1.3614703880190606
