resolution,d,alpha,gamma,uniform_cost_numeric,uniform_cost_used,adversarial_cost,stationary_iterations,stationary_residual
medium_balanced,10,2,0.6227766018055888,0.54454731915470933,0.54448672244019369,0.80526680776792336,35,1.3540855615387569e-14
high_uniform,10,2,0.58113883008418976,0.54095070563314829,0.54092553389459774,0.82106723119177927,31,1.0688309891695199e-14
high_adversarial,10,2,0.66666666666666663,0.5555824686076658,0.55555555555555569,0.80000000000000027,41,9.3036508258286813e-15
high_balanced,10,2,0.6227766018055888,0.54451250125555017,0.54448672244019369,0.80526680776792336,35,1.3534847011912003e-14
low_uniform,10,2.5,0.55592556439030028,0.40015028880471976,0.40015028880471976,0.67783685060214871,29,8.3881937350674907e-15
low_adversarial,10,2.5,0.6135117904356906,0.40928898861156959,0.40928898861156959,0.66316431494666461,34,1.3289735381164947e-14
low_balanced,10,2.5,0.58398440960325093,0.4023737323952758,0.4023737323952758,0.66684844219696826,31,1.4217392398113639e-14
medium_uniform,10,2.5,0.55592556439030028,0.40007680814266811,0.40007680814266811,0.67783685060214871,29,8.4094322278952752e-15
medium_adversarial,10,2.5,0.6135117904356906,0.40921319327478695,0.40921319327478695,0.66316431494666461,34,1.336573599783754e-14
medium_balanced,10,2.5,0.58398440960325093,0.40229951357906274,0.40229951357906274,0.66684844219696826,31,1.4135877012394942e-14
high_uniform,10,2.5,0.55592556439030028,0.4000491686065818,0.4000491686065818,0.67783685060214871,29,8.3578366633776767e-15
high_adversarial,10,2.5,0.6135117904356906,0.40918460327466877,0.40918460327466877,0.66316431494666461,34,1.3396084284895437e-14
high_balanced,10,2.5,0.58398440960325093,0.40227159225826797,0.40227159225826797,0.66684844219696826,31,1.415891911895789e-14
low_uniform,10,3,0.54293717926481389,0.29702340274964995,0.29702340274964995,0.55652991810843344,28,7.8986830240163798e-15
low_adversarial,10,3,0.58578643762690508,0.3030362049570216,0.3030362049570216,0.545819714368591,31,1.694512921636531e-14
low_balanced,10,3,0.56385879722168319,0.29848848069959572,0.29848848069959572,0.54851196516567691,29,1.8167551998415136e-14
medium_uniform,10,3,0.54293717926481389,0.29696430744856861,0.29696430744856861,0.55652991810843344,28,7.8177758149572538e-15
medium_adversarial,10,3,0.58578643762690508,0.30297596331420862,0.30297596331420862,0.545819714368591,31,1.6932674621469946e-14
medium_balanced,10,3,0.56385879722168319,0.29842912998775672,0.29842912998775672,0.54851196516567691,29,1.8153318253934647e-14
high_uniform,10,3,0.54293717926481389,0.29694220621956646,0.29694220621956646,0.55652991810843344,28,7.8496104256087775e-15
high_adversarial,10,3,0.58578643762690508,0.30295336297866043,0.30295336297866043,0.545819714368591,31,1.6953704389242656e-14
high_balanced,10,3,0.56385879722168319,0.29840687096526369,0.29840687096526369,0.54851196516567691,29,1.8090923347454599e-14
