dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,evaluation_resolution,radial_order,angular_order,state_bins,z_order,z,G_N,a_w,b_w,profile_sum,delta_N,w_N,Delta_N,H_N,row_error,cgal_version
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.331122636018225558e+00,5.068107408232175315e-02,2.834625406337672876e-02,1.546393202548354898e-02,4.381018608886028121e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,4.329869796038110508e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.341014364305890716e+00,5.330977639056132256e-02,2.984337378540050795e-02,1.635729311790962842e-02,4.620066690331013637e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,4.996003610813204432e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.350205013500095141e+00,5.579923644156366269e-02,3.125942639551793079e-02,1.720772417672316451e-02,4.846715057224109530e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,4.440892098500626162e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.358672442521924095e+00,5.813237020452552417e-02,3.258496480978089610e-02,1.800849677672469729e-02,5.059346158650559339e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,9.992007221626408864e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.366396252593204963e+00,6.029328503628423458e-02,3.381126243509266494e-02,1.875329330993405139e-02,5.256455574502671979e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,8.215650382226158399e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.373357836378950259e+00,6.226735898514470374e-02,3.493034176693814163e-02,1.943625299662167169e-02,5.436659476355981679e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,7.105427357601001859e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.379540422814057088e+00,6.404131316173251876e-02,3.593499974931020635e-02,2.005201423448680839e-02,5.598701398379701821e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,9.769962616701377556e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.384929117506273011e+00,6.560327704291094020e-02,3.681883005962464928e-02,2.059575307091898039e-02,5.741458313054362966e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,1.953992523340275511e-14,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.389510938618090385e+00,6.694284552050068504e-02,3.757624245996436102e-02,2.106321760541397109e-02,5.863946006537833211e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,4.218847493575594854e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.393274848141130562e+00,6.805112909009589095e-02,3.820247933584229594e-02,2.145075815151156057e-02,5.965323748735385651e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,4.329869796038110508e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.396211778487673305e+00,6.892079668066325437e-02,3.869362952474952183e-02,2.175535301005644337e-02,6.044898253480596173e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,4.218847493575594854e-15,6.1.1-I-900
