lambda_ratio,log2N_left,log2N_right,beta_quotient
1.15,12.0,14.0,0.4224239906645942
1.15,14.0,16.0,0.4322781579868433
1.15,16.0,18.0,0.4392290407216088
1.15,18.0,20.0,0.4439851705291469
1.15,20.0,22.0,0.4471496038460838
1.15,22.0,24.0,0.44925993494509453
1.15,24.0,26.0,0.45058722607164714
1.15,26.0,28.0,0.4513976886097116
1.15,28.0,30.0,0.451862336372365
1.15,30.0,32.0,0.4520399822513615
1.2,10.0,12.0,0.39804450881778186
1.2,12.0,14.0,0.41118350584449065
1.2,14.0,16.0,0.42056081960880265
1.2,16.0,18.0,0.42682404857790696
1.2,18.0,20.0,0.43101175787658985
1.2,20.0,22.0,0.4335931588350646
1.2,22.0,24.0,0.4348897205234879
1.2,24.0,26.0,0.4354035787850192
1.2,26.0,28.0,0.43538811600021504
1.2,28.0,30.0,0.43494642083567847
1.2,30.0,32.0,0.43418299837856883
1.25,10.0,12.0,0.38709468307438877
1.25,12.0,14.0,0.39920642299060966
1.25,14.0,16.0,0.40763467153161415
1.25,16.0,18.0,0.413177669772221
1.25,18.0,20.0,0.41641326319770977
1.25,20.0,22.0,0.4180761599915683
1.25,22.0,24.0,0.41856491305141835
1.25,24.0,26.0,0.41809318180038507
1.25,26.0,28.0,0.4171644030351288
1.25,28.0,30.0,0.4158451915990708
1.25,30.0,32.0,0.41426207566252105
1.3,10.0,12.0,0.37572607901431515
1.3,12.0,14.0,0.3866229738577316
1.3,14.0,16.0,0.39392726847261555
1.3,16.0,18.0,0.3983783696684807
1.3,18.0,20.0,0.40065939652629223
1.3,20.0,22.0,0.4014557220897029
1.3,22.0,24.0,0.4009902154323751
1.3,24.0,26.0,0.39988191018057556
1.3,26.0,28.0,0.3983449870527286
1.3,28.0,30.0,0.3964988813043431
1.3,30.0,32.0,0.3947511697217028
1.4,10.0,12.0,0.3525989018665976
1.4,12.0,14.0,0.3603822238800801
1.4,14.0,16.0,0.3651416769942115
1.4,16.0,18.0,0.3675486303867263
1.4,18.0,20.0,0.3681374609010231
1.4,20.0,22.0,0.3676263208892643
1.4,22.0,24.0,0.36652005376970537
1.4,24.0,26.0,0.3650621125824993
1.4,26.0,28.0,0.3635797807664602
1.4,28.0,30.0,0.3622129794859139
1.4,30.0,32.0,0.3610807405881041
1.5,10.0,12.0,0.32948174184157897
1.5,12.0,14.0,0.3342398508087271
1.5,14.0,16.0,0.33672723144295535
1.5,16.0,18.0,0.3375888654039916
1.5,18.0,20.0,0.3375653890365273
1.5,20.0,22.0,0.33695127628882193
1.5,22.0,24.0,0.33628305340913567
1.5,24.0,26.0,0.335558942077064
1.5,26.0,28.0,0.3350041878780023
1.5,28.0,30.0,0.33458181641407103
