dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,delta_128,delta_256,delta_512,objective_256,objective_512,beta_512,scale_type,theory_scale,collapse_ratio,location_rel_change,value_rel_change,derivative_scaled,neighbor_left,neighbor_right,first_order_ok,neighbor_ok,accepted,log_normalized_distance,stationary_scale,correction_balance
phase_regimes,1,4,2,1.075,0.41527872955648903,0.44642463427322576,28.0,268435456,1.023001950214166,0.00022679308884410165,0.0002266135979041017,0.00022657554233440624,177595632.30536088,177595631.8389117,0.43241858005368417,supercritical,0.00011121733927579243,2.03723217809188,0.0001679597422714209,2.6264675908684277e-09,6.610035768875879e-10,0.372860848903656,0.38165611028671265,1,1,1,0.7115921111577804,0.00011121733927579243,0.40724971265066373
phase_regimes,3,4,2,1.075,0.41527872955648903,0.44642463427322576,32.0,4294967296,1.0201267064373951,6.143796677737788e-05,6.136931996258976e-05,6.134627778608959e-05,2844231064.4764805,2844231049.238251,0.43727077075265847,supercritical,3.062812406687146e-05,2.002939443896404,0.00037560838785562553,5.357591915337151e-09,1.333660848165543e-10,1.3900022506713867,1.4167208671569824,1,1,1,0.69461582352392,3.062812406686796e-05,0.40576095012558117
phase_regimes,3,4,2,1.1,0.41527872955648903,0.45680660251213806,16.0,65536,1.0411895387555998,0.011174261394824136,0.011171312733494363,0.011171755646698813,43104.76478895367,43104.76456801175,0.40525001662044174,supercritical,0.005987294720210241,1.8659104267889652,3.964580129147133e-05,5.125695802435639e-09,1.3285257157583127e-08,0.008132795563142281,0.008209773004637102,1,1,1,0.623749098480358,0.005987294720210241,0.38447749944943305
phase_regimes,2,4,2,1.1,0.41527872955648903,0.45680660251213806,22.0,4194304,1.0299560281858908,0.0016874946936225044,0.0016870493979406207,0.0016871162850176091,2768590.8060439806,2768590.800867216,0.41869203951830153,supercritical,0.0009041786040721104,1.865910426788928,3.9645801289572e-05,1.8698194443475617e-09,2.1101661208774244e-09,0.0534620089456439,0.05434308759868145,1,1,1,0.623749098480338,0.0009041786040721105,0.37878699098261537
phase_regimes,1,4,2,1.1,0.41527872955648903,0.45680660251213806,28.0,268435456,1.023536879288914,0.0002464639364961885,0.0002462381933826529,0.0002461968422244887,177564041.164075,177564040.73080286,0.42813929006915014,supercritical,0.00013654367871309415,1.8030629066454111,0.00016795974225606515,2.4400893421526548e-09,5.660818621800063e-10,0.37256303429603577,0.3812219500541687,1,1,1,0.5894868335989011,0.0001365436787130828,0.3755374842970139
phase_regimes,3,4,2,1.1,0.41527872955648903,0.45680660251213806,32.0,4294967296,1.0205947693778,6.778441591459572e-05,6.773076926869237e-05,6.769128493244736e-05,2843789587.234808,2843789572.4722166,0.432833449116128,supercritical,3.872113895738813e-05,1.748173911075816,0.0005833001439463562,5.191168512629665e-09,5.063416162793297e-10,1.3645720481872559,1.440141201019287,1,1,1,0.5585717637465338,3.8721138957388135e-05,0.37404866424254585
phase_regimes,3,4,2,1.15,0.41527872955648903,0.4775705389899624,16.0,65536,1.043061790517218,0.012185896845138489,0.01218513766572482,0.012184654576178231,43074.09401362499,43074.09379661424,0.3974244273262311,supercritical,0.007454449394565912,1.6345478963289375,3.964737314198501e-05,5.038080559342942e-09,1.4890435945638312e-08,0.008259031565103214,0.008347434013558086,1,1,1,0.49136625010485063,0.007454449394565912,0.32519046678240704
phase_regimes,2,4,2,1.15,0.41527872955648903,0.4775705389899624,22.0,4194304,1.031317665830704,0.001926922437973988,0.0019268023910159473,0.0019268787836692611,2767306.87373775,2767306.867976574,0.40997811215515334,supercritical,0.0012221797329888123,1.5765919951537106,3.964580126249636e-05,2.0818709875438456e-09,1.7555015080022969e-09,0.05451830849051476,0.05509586073458195,1,1,1,0.4552655523465689,0.0012221797329888125,0.31949924846427435
phase_regimes,1,4,2,1.15,0.41527872955648903,0.4775705389899624,28.0,268435456,1.0246067374384102,0.00029630618725962066,0.00029607168154188734,0.00029602196176947704,177500850.48096892,177500850.11603054,0.4186431488095101,supercritical,0.0002003770988684248,1.4773243221964016,0.00016795974228771775,2.055981016966898e-09,5.281701782825753e-10,0.3819158971309662,0.39148673415184015,1,1,1,0.39023256116197186,0.0002003770988684248,0.31624943722657767
phase_regimes,3,4,2,1.15,0.41527872955648903,0.4775705389899624,32.0,4294967296,1.021530895258609,8.467853386540103e-05,8.461151670136058e-05,8.455134300988652e-05,2842906816.7939634,2842906803.2003207,0.4228066501223042,supercritical,6.0023541870794835e-05,1.4086363512484756,0.0007116822670339526,4.781599838706196e-09,1.4563047305799792e-10,1.4536867141723633,1.4578943252563477,1,1,1,0.3426221096470997,6.0023541870794835e-05,0.31476050210004874
