N,family,case,case_index,r,alpha,H,delta_finite,delta_stationary_scale,finite_column,stationary_column
16384,scaled_r,1.4,20,1.4,1.0599120563717817,0.2592275147982836,0.03502170970411814,0.028931139262048385,40,41
16384,scaled_r,1.45,21,1.45,1.0620517726707739,0.25975315114014874,0.03810983393352112,0.03260352014395063,42,43
16384,scaled_r,1.5,22,1.5,1.064191488969766,0.260278848212509,0.04142328617157925,0.036450486896562814,44,45
16384,scaled_r,1.55,23,1.55,1.0663312052687581,0.2608046063052244,0.04495011557284565,0.04045916444001054,46,47
16384,scaled_r,1.6,24,1.6,1.0684709215677504,0.2613304257080572,0.0486760765599531,0.0446167788770459,48,49
16384,scaled_r,1.75,25,1.75,1.074890070464727,0.26290825467344187,0.0608909796013754,0.05785969666311366,50,51
16384,scaled_r,2,26,2.0,1.085588651959688,0.2655392228347616,0.08378757179054969,0.08182335630804138,52,53
16384,scaled_r,2.25,27,2.25,1.096287233454649,0.26817178883359116,0.1084970885651705,0.10713481760801076,54,55
16384,scaled_r,2.5,28,2.5,1.10698581494961,0.2708059887494699,0.1339143650525928,0.13291393626545644,56,57
16384,scaled_r,2.75,29,2.75,1.117684396444571,0.2734418586060291,0.15932477026876965,0.15855590852319104,58,59
16384,scaled_r,3,30,3.0,1.128382977939532,0.276079434372648,0.1842762198317082,0.18366371141865906,60,61
16384,fixed_alpha,1.01,31,0.23367583835085945,1.01,0.24698280240676612,0.008893530802926609,8.89030870783047e-10,62,63
16384,fixed_alpha,1.03,32,0.7010275150525783,1.03,0.2518856047263533,0.012974215602388924,0.000913411442080404,64,65
16384,fixed_alpha,1.05,33,1.1683791917542972,1.05,0.2567933324266264,0.02378396108623105,0.014554447210140093,66,67
16384,fixed_alpha,1.075,34,1.7525687876314433,1.075,0.262935280264487,0.06111201623231168,0.05809528966685378,68,69
16384,fixed_alpha,1.1,35,2.3367583835085943,1.1,0.2690857575821216,0.117280662205437,0.11606393119265018,70,71
16384,fixed_alpha,1.2,36,4.673516767017183,1.2,0.2937821497998332,0.3279077516329495,0.32768,72,73
65536,scaled_r,0,0,0.0,1.0,0.24453317379349931,0.0038633043461258182,0.0,0,1
65536,scaled_r,0.1,1,0.1,1.0037445035232364,0.24545030275148105,0.0040917885211918005,7.659285652827213e-25,2,3
65536,scaled_r,0.2,2,0.2,1.0074890070464726,0.24636759338545672,0.004352833921841217,8.421380285913666e-13,4,5
65536,scaled_r,0.3,3,0.3,1.011233510569709,0.24728504726405787,0.004654452087862699,8.691840314653443e-09,6,7
65536,scaled_r,0.4,4,0.4,1.0149780140929454,0.2482026659548653,0.005007454935985451,8.830261376304842e-07,8,9
65536,scaled_r,0.5,5,0.5,1.0187225176161818,0.249120451024415,0.005426710345699664,1.4128261411608905e-05,10,11
65536,scaled_r,0.6,6,0.6,1.022467021139418,0.2500384040382092,0.00593305642074265,8.970787217971446e-05,12,13
65536,scaled_r,0.7,7,0.7,1.0262115246626544,0.25095652656072054,0.006556221856887129,0.0003359047925188677,14,15
65536,scaled_r,0.8,8,0.8,1.0299560281858908,0.25187482015540885,0.00733919457843553,0.0009041786040721102,16,17
65536,scaled_r,0.85,9,0.85,1.031828279947509,0.2523340315931258,0.007809145110138579,0.0013593405760261093,18,19
65536,scaled_r,0.9,10,0.9,1.0337005317091272,0.25279328638472776,0.00834435618199609,0.0019531121057203096,20,21
65536,scaled_r,0.95,11,0.95,1.0355727834707453,0.2532525847253656,0.008956862367229179,0.002701204746298111,22,23
65536,scaled_r,0.975,12,0.975,1.0365089093515545,0.2534822502875408,0.009296420846042106,0.003137299830439569,24,25
65536,scaled_r,1,13,1.0,1.0374450352323634,0.2537119268101278,0.009660746329352798,0.003616634004474932,26,27
65536,scaled_r,1.025,14,1.025,1.0383811611131726,0.25394161431750517,0.010051916618017638,0.004140386786655845,28,29
