N,family,case,case_index,r,alpha,H,delta_finite,delta_stationary_scale,finite_column,stationary_column,trajectories,mean_finite,mean_stationary_scale,mean_difference,variance_difference,variance_stationary_scale,covariance_difference_stationary_scale,saving_estimate_pct,saving_standard_error_pct,saving_lower95_pct,saving_upper95_pct,saved_cost_per_input,N_delta_finite,N_delta_stationary_scale
1024,scaled_r,2,26,2.0,1.119824112743563,0.2739692361364638,0.174327468291486,0.1636299617826748,52,53,32768,649.0390947941133,648.7623680284868,0.2767267656265455,0.026112113398458293,66.76440019159077,0.2203180521340798,-0.04265456494763806,0.0001371334712772041,-0.042923346551341376,-0.04238578334393474,-0.00027024098205717336,178.51132753048165,167.557080865459
1024,scaled_r,2.25,27,2.25,1.1348021268365085,0.27766281361296263,0.20653970582463538,0.19836396148936322,54,55,32768,643.2276796056784,642.9370410243331,0.2906385813452687,0.013044986417524683,68.26783082014269,0.1909779568651589,-0.04520482765812041,9.753719699294042e-05,-0.045396000564226574,-0.04501365475201424,-0.000283826739594989,211.49665876442663,203.12469656510794
1024,scaled_r,2.5,28,2.5,1.149780140929454,0.28135984725216273,0.23786021339527413,0.23138691614287415,56,57,32768,637.4138665423488,637.1165131579673,0.2973533843815497,0.007313733956636301,69.75939566184432,0.16756805583482648,-0.04667174343161681,7.343310921530973e-05,-0.04681567232567882,-0.04652781453755481,-0.0002903841644351071,243.5688585167607,236.94020213030313
1024,scaled_r,2.75,29,2.75,1.1647581550223993,0.2850604353616112,0.26773542233252157,0.2624532557381982,58,59,32768,631.6452942588343,631.3436310540426,0.30166320479168357,0.0044948599547431625,71.22161580558158,0.15011524970282963,-0.047781143256018906,5.782743995248393e-05,-0.047894485038325774,-0.04766780147371204,-0.0002945929734293785,274.1610724685021,268.752133875915
1024,scaled_r,3,30,3.0,1.1797361691153447,0.28876467606539113,0.2959222282833129,0.2915029671159804,60,61,32768,625.9595796121354,625.6543266547451,0.3052529573902586,0.002969021776115399,72.64761115201529,0.13708944910015847,-0.04878939446041846,4.7158154824542114e-05,-0.04888182444387456,-0.04869696447696236,-0.0002980985912014244,303.0243617621124,298.4990383267639
1024,fixed_alpha,1.01,31,0.16691131310775678,1.01,0.24698280240676612,0.034061128956368085,8.89030870783047e-10,62,63,32768,687.4540251031862,927.0408691759494,-239.58684407276323,18991.27841895799,19563.688793144145,-19245.772712997168,25.844259087059772,0.06062463165039508,25.725434809024996,25.963083365094548,0.23397152741480784,34.87859605132092,9.103676116818402e-07
1024,fixed_alpha,1.03,32,0.5007339393232703,1.03,0.2518856047263533,0.042721375427395826,0.000913411442080404,64,65,32768,681.0691382334545,791.9595289351781,-110.89039070172358,4234.13916328509,4479.394280884456,-4325.294752290667,14.002027458501601,0.0389046313335114,13.925774381087919,14.078280535915283,0.10829139716965193,43.746688437653326,0.9353333166903337
1024,fixed_alpha,1.05,33,0.8345565655387839,1.05,0.2567933324266264,0.05659136533091899,0.014554447210140093,66,67,32768,674.4895073540166,679.8402818099743,-5.350774455957625,16.985910940955893,85.35856520443946,-19.73108625789078,0.7870634616872038,0.003318746304215961,0.7805587189309404,0.7935682044434671,0.005225365679646118,57.94955809886105,14.903753943183455
1024,fixed_alpha,1.075,34,1.251834848308174,1.075,0.262935280264487,0.08654705549169278,0.05809528966685378,68,69,32768,665.8348121392148,666.0506707443268,-0.21585860511193047,0.6018403395938217,63.53011467385929,-0.23480818597376174,0.0324087362408484,0.0006433627280019067,0.03114774529396466,0.03366972718773213,0.0002107994190546196,88.62418482349341,59.48957661885827
1024,fixed_alpha,1.1,35,1.6691131310775678,1.1,0.2690857575821216,0.13223790311618253,0.11606393119265018,70,71,32768,656.6288000520811,656.4091756052909,0.21962444679025983,0.08273712296274992,64.8587377684917,0.24771926849718148,-0.033458466906368084,0.00024184337413527774,-0.03393247991967323,-0.03298445389306294,-0.00021447699881861312,135.4116127909709,118.84946554127379
