resolution,d,alpha,gamma,uniform_cost_numeric,uniform_cost_used,adversarial_cost,stationary_iterations,stationary_residual
high,68,2,0.69520000000000004,0.66040568410281508,0.66038585316523979,0.80203983776973686,46,1.8087306821307995e-14
high,68,2,0.69679999999999997,0.66121932669467054,0.66119944500572492,0.80227073020496631,47,1.068253493344966e-14
high,68,2,0.69840000000000002,0.66204313942523463,0.66202321781845108,0.80251352912241913,47,1.3042415658401439e-14
high,68,2,0.69999999999999996,0.66287709453415211,0.66285714285714281,0.80276816608996537,47,1.6125726403233707e-14
high,68,2,0.7016,0.66372122610055684,0.66370119148364559,0.80303457306367698,47,1.9710883560029936e-14
high,68,2,0.70320000000000005,0.66457545746721014,0.66455533516741594,0.80331268238539089,48,1.2004627355803152e-14
high,68,2,0.70479999999999998,0.6654397105259735,0.66541954548501703,0.80360242678028804,48,1.4719510435182602e-14
high,68,2,0.70640000000000003,0.66631397527099545,0.66629379411961698,0.80390373935449233,48,1.8162465166285239e-14
high,68,2,0.70799999999999996,0.66719829833155098,0.66717805286048848,0.80421655359268129,49,1.1220938521252567e-14
high,68,2,0.70960000000000001,0.66809266046974236,0.66807229360251352,0.80454080335572054,49,1.3792168035094364e-14
high,68,2,0.71120000000000005,0.66899690890635277,0.66897648834568879,0.8048764228783073,49,1.6860014232551816e-14
high,68,2,0.71279999999999999,0.66991104946056113,0.66989060919463517,0.80522334676663709,50,1.0662701626416656e-14
high,68,2,0.71440000000000003,0.67083512323912609,0.67081462835810945,0.80558150999608291,50,1.3298905417743639e-14
high,68,2,0.71599999999999997,0.6717690960346604,0.67174851814851821,0.80595084790889004,50,1.6355223055224594e-14
high,68,2,0.71760000000000002,0.6727129236212539,0.67269225098143592,0.80633129621189137,51,1.0365058603251405e-14
high,68,2,0.71920000000000006,0.6736665363571025,0.67364579937512448,0.80672279097423427,51,1.2899037932473791e-14
high,68,2,0.7208,0.67462992437464098,0.67460913595005645,0.80712526862512568,51,1.6100395981253743e-14
high,68,2,0.72240000000000004,0.67560304804690641,0.67558223342843882,0.80753866595159152,51,1.994212523336089e-14
high,68,2,0.72399999999999998,0.67658596568413043,0.67656506463374211,0.8079629200962527,52,1.2865531935720031e-14
high,68,2,0.72560000000000002,0.67757861751505744,0.67755760249023123,0.80839796855511792,52,1.614692073086604e-14
high,68,2,0.72719999999999996,0.67858089920618514,0.67855982002249715,0.80884374917538771,52,1.9995212874316466e-14
high,68,2,0.7288,0.67959280005698297,0.67957169035499421,0.80930020015327853,53,1.3296621947214198e-14
high,68,2,0.73039999999999994,0.68061437427730165,0.68059318671157765,0.80976726003186006,53,1.6560458232782819e-14
high,68,2,0.73199999999999998,0.68164555087216161,0.68162428241504447,0.81024486769890491,54,1.0982754740458256e-14
high,68,2,0.73360000000000003,0.68268629947517245,0.68266495088667678,0.81073296238475812,54,1.3834070628974464e-14
high,68,2,0.73519999999999996,0.68373659345697391,0.68371516564578805,0.81123148366021847,54,1.739744694058641e-14
high,68,2,0.73680000000000001,0.68479641478226061,0.68477490030927157,0.81174037143443345,55,1.1729402408405311e-14
