dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,delta_128,delta_256,delta_512,objective_256,objective_512,beta_512,scale_type,theory_scale,collapse_ratio,location_rel_change,value_rel_change,derivative_scaled,neighbor_left,neighbor_right,first_order_ok,neighbor_ok,accepted
phase_regimes,0,4,2,9.250000000000000444e-01,4.152787295564890901e-01,3.841328248397524181e-01,2.600000000000000000e+01,67108864,1.021314866209191541e+00,3.020552362518191813e-04,3.018770367002598931e-04,3.018650685432389125e-04,4.442420153701970726e+07,4.442420144549258053e+07,4.497618676902281898e-01,subcritical,4.678519935842436112e-04,6.452148813786847681e-01,3.964737317483401274e-05,2.060298750486037290e-09,8.511508434379505018e-12,2.140731588006019592e-01,2.153720483183860779e-01,1,1,1
phase_regimes,0,4,2,9.499999999999999556e-01,4.152787295564890901e-01,3.945147930786646051e-01,1.000000000000000000e+01,1024,1.056916453553192525e+00,5.890527979945514581e-02,5.892082781290775007e-02,5.891849184947639539e-02,6.721608542209756934e+02,6.721608453460673900e+02,4.085135687933351134e-01,subcritical,1.494253569836323514e-01,3.943004924922492993e-01,3.964737314258715673e-05,1.320354847328200697e-08,2.470193386414422536e-07,1.369039895962487208e-03,1.390828841863367415e-03,1,1,1
phase_regimes,0,4,2,9.499999999999999556e-01,4.152787295564890901e-01,3.945147930786646051e-01,1.800000000000000000e+01,262144,1.031620251973995872e+00,4.586803418632934282e-03,4.588014102658188875e-03,4.587832207162745313e-03,1.729733786663325154e+05,1.729733779641235597e+05,4.315539809263246318e-01,subcritical,9.226245416693550430e-03,4.972588523237989611e-01,3.964737314489803879e-05,4.059636020508696128e-09,1.234150270528310917e-08,1.546129473717883229e-02,1.549768121913075447e-02,1,1,1
phase_regimes,0,4,2,9.499999999999999556e-01,4.152787295564890901e-01,3.945147930786646051e-01,2.600000000000000000e+01,67108864,1.021890943674304886e+00,3.178872846469893432e-04,3.178034006290353375e-04,3.177500314156533889e-04,4.441567335238357633e+07,4.441567326541172713e+07,4.469161581415875273e-01,subcritical,5.739072262860485125e-04,5.536609696865526509e-01,1.679597422671392961e-04,1.958134208242166005e-09,4.769037386977925059e-10,2.100738212466239929e-01,2.106473818421363831e-01,1,1,1
phase_regimes,0,4,2,9.749999999999999778e-01,4.152787295564890901e-01,4.048967613175768476e-01,1.000000000000000000e+01,1024,1.058414254962487089e+00,6.019361145308987915e-02,6.019736173904521870e-02,6.019974840630826218e-02,6.716473249003075807e+02,6.716473160418005364e+02,4.054098732253699211e-01,subcritical,2.117446540729916726e-01,2.843035101398898590e-01,3.964580129031550302e-05,1.318922421451336544e-08,5.530383614723837148e-08,1.379043427050419268e-03,1.393441051163790689e-03,1,1,1
phase_regimes,0,4,2,9.749999999999999778e-01,4.152787295564890901e-01,4.048967613175768476e-01,1.800000000000000000e+01,262144,1.032452363868048284e+00,4.776680415546463720e-03,4.776978020508915179e-03,4.776788633387596406e-03,1.729223969990270853e+05,1.729223962852700788e+05,4.283190690998919803e-01,subcritical,1.307013111113035191e-02,3.654736584332919369e-01,3.964737313161465127e-05,4.127614593508191629e-09,6.456754866659204906e-09,1.526324916630983353e-02,1.543784211389720440e-02,1,1,1
phase_regimes,0,4,2,9.749999999999999778e-01,4.152787295564890901e-01,4.048967613175768476e-01,2.600000000000000000e+01,67108864,1.022467021139418009e+00,3.357982657761215961e-04,3.356419788734799070e-04,3.355856140002666521e-04,4.440714572506013513e+07,4.440714564268694818e+07,4.438858272459328957e-01,subcritical,8.129123409795722130e-04,4.128189437939651651e-01,1.679597421992293986e-04,1.854953425935417967e-09,1.061285225243989630e-09,2.065359130501747131e-01,2.061949819326400757e-01,1,1,1
phase_regimes,0,4,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.000000000000000000e+01,1024,1.059912056371781652e+00,6.152967324611524624e-02,6.151343681117571460e-02,6.151587565735827656e-02,6.711316859082049859e+02,6.711316770431735677e+02,4.022897408973956646e-01,critical,6.824379698961943741e-02,9.014134378647696844e-01,3.964580129113768741e-05,1.320907911445692319e-08,5.890357351163276134e-07,1.393311565038857225e-03,1.394149664633914654e-03,1,1,1
phase_regimes,0,4,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.800000000000000000e+01,262144,1.033284475762100918e+00,4.980175984318102600e-03,4.981490498797369604e-03,4.981293003614939430e-03,1.728713274887540611e+05,1.728713267632250790e+05,4.249591117047979982e-01,critical,5.108340306981240184e-03,9.751294362294787854e-01,3.964737313923336705e-05,4.196930720593219405e-09,2.168788611330840677e-08,1.510302993119694293e-02,1.539179740939289331e-02,1,1,1
phase_regimes,0,4,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.600000000000000000e+01,67108864,1.023043098604531354e+00,3.560428243061242171e-04,3.557610411991651844e-04,3.557469367676535654e-04,4.439861832636091113e+07,4.439861824859764427e+07,4.406485017448965591e-01,critical,3.605107020178642801e-04,9.867860642595440712e-01,3.964737304493200318e-05,1.751479436274910421e-09,4.906376792693113275e-10,2.015773728489875793e-01,2.041049301624298096e-01,1,1,1
