dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,radial_order,angular_order,state_bins,gamma,delta,beta,objective,derivative_logdelta,derivative_scaled,neighbor_left,neighbor_right,H_constant,scale_type,theory_scale,collapse_ratio,row_error,steps,evaluations,cgal_version
phase_regimes,0,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,1.000000000000000000e+01,1024,1.017973616911534540e+00,128,32,33,9.637480734275156724e-01,3.625192657248432759e-02,4.785798522020613954e-01,6.849498931313995627e+02,-4.543472300611028913e-04,6.633291495001981890e-07,1.498699459034469328e-03,1.484150434180264710e-03,2.489408648322130879e-01,subcritical,3.787400045034122753e-02,9.571718366539152534e-01,4.329869796038110508e-15,1024,30,6.1.1-I-900
phase_regimes,0,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,1.000000000000000000e+01,1024,1.017973616911534540e+00,256,64,65,9.637458147976080136e-01,3.625418520239198639e-02,4.785708639551721766e-01,6.849497718189930993e+02,6.599134394491557032e-05,9.634479294688289176e-08,1.488277922589986701e-03,1.494544401452913007e-03,2.489373728365148752e-01,subcritical,3.787373481233410194e-02,9.572381858307069669e-01,2.753353101070388220e-14,1024,30,6.1.1-I-900
phase_regimes,0,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,1.000000000000000000e+01,1024,1.017973616911534540e+00,512,128,129,9.637472521238305001e-01,3.625274787616949990e-02,4.785765837486472551e-01,6.849497613067087514e+02,-2.255001447792892577e-04,3.292214371300644542e-07,1.494094709187265835e-03,1.488699981678109907e-03,2.489369422804037779e-01,subcritical,3.787370205956813729e-02,9.572010631321653529e-01,2.364775042451583431e-14,1024,30,6.1.1-I-900
phase_regimes,0,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,1.800000000000000000e+01,262144,1.009985342728630275e+00,128,32,33,9.976745308944987567e-01,2.325469105501243305e-03,4.860145839596646256e-01,1.742851932187120547e+05,-2.189128281315788627e-02,1.256060965872546631e-07,2.246670075692236423e-02,2.161265973700210452e-02,2.469833192035101044e-01,subcritical,2.357799719850820278e-03,9.862878029557053949e-01,2.886579864025407005e-15,262144,30,6.1.1-I-900
phase_regimes,0,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,1.800000000000000000e+01,262144,1.009985342728630275e+00,256,64,65,9.976739170883159868e-01,2.326082911684013155e-03,4.859934312792063560e-01,1.742851901274948905e+05,7.870330591686069965e-03,4.515777035288359978e-08,2.187041865545324981e-02,2.220692543778568506e-02,2.469797219352896367e-01,subcritical,2.357782549321018033e-03,9.865553175605046299e-01,8.326672684688674053e-15,262144,30,6.1.1-I-900
phase_regimes,0,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,1.800000000000000000e+01,262144,1.009985342728630275e+00,512,128,129,9.976740093077368643e-01,2.325990692263135706e-03,4.859966089422472213e-01,1.742851896041452419e+05,3.349116013851016760e-03,1.921629727378373004e-08,2.196072664810344577e-02,2.211638024891726673e-02,2.469792754626395637e-01,subcritical,2.357780418202943488e-03,9.865170964631060357e-01,6.827871601444712724e-14,262144,30,6.1.1-I-900
phase_regimes,0,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,2.600000000000000000e+01,67108864,1.006912929581359473e+00,128,32,33,9.998540727309741527e-01,1.459272690258472949e-04,4.900947261024078405e-01,4.463803424871259183e+07,1.860205084085464478e-01,4.167309594595587790e-09,3.422526121139526367e-01,3.499447628855705261e-01,2.462306179213340496e-01,subcritical,1.471377617115212613e-04,9.917730657881879130e-01,7.993605777301127091e-15,67108864,30,6.1.1-I-900
phase_regimes,0,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,2.600000000000000000e+01,67108864,1.006912929581359473e+00,256,64,65,9.998541112382257623e-01,1.458887617742377074e-04,4.901093702657990936e-01,4.463803225220260769e+07,2.674013376235961914e-02,5.990437394569551466e-10,3.454787209630012512e-01,3.468222171068191528e-01,2.462269793811035501e-01,subcritical,1.471366745830241744e-04,9.915186828007159781e-01,1.043609643147647148e-14,67108864,30,6.1.1-I-900
phase_regimes,0,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,2.600000000000000000e+01,67108864,1.006912929581359473e+00,512,128,129,9.998541170221025842e-01,1.458829778974157776e-04,4.901115701863520413e-01,4.463803207485558093e+07,7.285736501216888428e-02,1.632181384922861179e-09,3.445796296000480652e-01,3.477332815527915955e-01,2.462265266392284768e-01,subcritical,1.471365393115670528e-04,9.914802847748320769e-01,7.127631818093504990e-14,67108864,30,6.1.1-I-900
phase_regimes,0,4,2,4.000000000000000222e-01,4.152787295564890901e-01,1.661114918225956583e-01,1.000000000000000000e+01,1024,1.023964822548712572e+00,128,32,33,9.613370514855935633e-01,3.866294851440643665e-02,4.692904525197482690e-01,6.830356330217286995e+02,-9.757827967860066565e-04,1.428597205784379713e-06,1.469378206707006029e-03,1.435098893807662535e-03,2.504095262040205161e-01,subcritical,4.124744126433756153e-02,9.373417436158477667e-01,5.551115123125782702e-15,1024,30,6.1.1-I-900
phase_regimes,0,4,2,4.000000000000000222e-01,4.152787295564890901e-01,1.661114918225956583e-01,1.000000000000000000e+01,1024,1.023964822548712572e+00,256,64,65,9.613346426400481981e-01,3.866535735995180190e-02,4.692814642728588836e-01,6.830355160158659373e+02,-4.776528612637775950e-04,6.993089671967839034e-07,1.459405082073317317e-03,1.445052099711574556e-03,2.504061112666071121e-01,subcritical,4.124716000924165404e-02,9.374065354145258988e-01,6.439293542825907934e-15,1024,30,6.1.1-I-900
phase_regimes,0,4,2,4.000000000000000222e-01,4.152787295564890901e-01,1.661114918225956583e-01,1.000000000000000000e+01,1024,1.023964822548712572e+00,512,128,129,9.613331096601972492e-01,3.866689033980275081e-02,4.692757444793838051e-01,6.830355058850298064e+02,-1.865280410129344091e-04,2.730868884645233564e-07,1.453593776659545256e-03,1.450886935344897211e-03,2.504056922951169439e-01,subcritical,4.124712550251329046e-02,9.374444853726032756e-01,3.907985046680551022e-14,1024,30,6.1.1-I-900
